sku_id,name,category,unit_cost,unit_price,shelf_life_days
SKU_001,Potato 1,Fruits & Vegetables,215.41,282.91,322
SKU_002,Water 2,Beverages,278.52,326.64,331
SKU_003,Chips 3,Snacks,386.94,497.18,244
SKU_004,Dal 4,Staples,107.74,140.5,94
SKU_005,Tissue 5,Household,208.17,305.65,37
SKU_006,Namkeen 6,Snacks,271.76,352.96,4
SKU_007,Soap 7,Personal Care,235.73,340.58,193
SKU_008,Noodles 8,Grocery,360.03,505.68,272
SKU_009,Muffin 9,Bakery,37.19,53.76,298
SKU_010,Jam 10,Grocery,242.97,303.31,219
SKU_011,Nuggets 11,Frozen Food,324.83,375.33,67
SKU_012,Ice Cream 12,Frozen Food,95.51,137.1,65
SKU_013,Paneer 13,Dairy,320.27,472.14,263
SKU_014,Rice 14,Staples,367.68,503.04,203
SKU_015,Biscuits 15,Grocery,44.15,55.8,64
SKU_016,Potato 16,Fruits & Vegetables,262.27,344.96,37
SKU_017,Water 17,Beverages,309.1,381.0,220
SKU_018,Cleaner 18,Household,218.64,259.92,17
SKU_019,Apple 19,Fruits & Vegetables,139.46,194.33,98
SKU_020,Energy Drink 20,Beverages,225.14,276.94,31
SKU_021,Cleaner 21,Household,284.02,419.04,286
SKU_022,Nuggets 22,Frozen Food,351.16,430.68,30
SKU_023,Popcorn 23,Snacks,143.25,182.6,350
SKU_024,Milk 24,Dairy,106.62,153.14,123
SKU_025,Frozen Corn 25,Frozen Food,22.64,29.88,139
SKU_026,Paneer 26,Dairy,122.38,181.12,154
SKU_027,Shampoo 27,Personal Care,173.46,258.48,320
SKU_028,Chocolate 28,Snacks,115.68,139.03,115
SKU_029,Bread 29,Bakery,121.38,160.94,4
SKU_030,Lotion 30,Personal Care,151.13,181.46,128
SKU_031,Salt 31,Staples,50.72,62.55,186
SKU_032,Lotion 32,Personal Care,260.28,335.65,200
SKU_033,Milk 33,Dairy,141.9,197.74,328
SKU_034,Potato 34,Fruits & Vegetables,143.86,191.22,348
SKU_035,Potato 35,Fruits & Vegetables,265.17,392.23,310
SKU_036,Bun 36,Bakery,338.33,429.47,269
SKU_037,Frozen Peas 37,Frozen Food,371.38,460.62,300
SKU_038,Rice 38,Staples,216.32,324.2,4
SKU_039,Energy Drink 39,Beverages,355.4,443.4,11
SKU_040,Tomato 40,Fruits & Vegetables,345.4,491.49,56
SKU_041,Muffin 41,Bakery,51.97,70.8,106
SKU_042,Apple 42,Fruits & Vegetables,272.13,339.99,351
SKU_043,Noodles 43,Grocery,282.92,423.83,210
SKU_044,Chips 44,Snacks,26.87,32.58,279
SKU_045,Cake 45,Bakery,269.89,361.62,35
