source_store,destination_store,city_zone,sku_id,recommended_quantity,destination_risk_level,source_excess_stock,destination_stock,destination_daily_demand,estimated_days_before_stockout,projected_days_after_transfer,recommendation,reason
STORE_05,STORE_07,East Zone,SKU_132,19,High,42.90616347041329,17,3.9487254862882657,4.305186587173906,9.11686571401533,Move 19 units of SKU_132 from STORE_05 to STORE_07,Destination is High risk and source has 42 excess units
STORE_05,STORE_07,East Zone,SKU_191,23,High,42.74621659090177,20,3.946128104821606,5.068259181845326,10.896757240967451,Move 23 units of SKU_191 from STORE_05 to STORE_07,Destination is High risk and source has 42 excess units
STORE_05,STORE_07,East Zone,SKU_115,26,High,40.11670280760526,20,5.3843932004356265,3.7144389823503032,8.543209659405697,Move 26 units of SKU_115 from STORE_05 to STORE_07,Destination is High risk and source has 40 excess units
STORE_05,STORE_07,East Zone,SKU_217,19,High,37.968828473498135,7,4.782770250957526,1.4635869240423116,5.436180003585728,Move 19 units of SKU_217 from STORE_05 to STORE_07,Destination is High risk and source has 37 excess units
STORE_05,STORE_07,East Zone,SKU_130,20,High,34.33455518129582,17,5.138100545572009,3.308615674064713,7.201104702376139,Move 20 units of SKU_130 from STORE_05 to STORE_07,Destination is High risk and source has 34 excess units
STORE_05,STORE_07,East Zone,SKU_075,17,High,33.94020933900492,12,3.400760920486648,3.5286220585841135,8.527503308244942,Move 17 units of SKU_075 from STORE_05 to STORE_07,Destination is High risk and source has 33 excess units
STORE_05,STORE_07,East Zone,SKU_126,18,High,33.40918008851576,10,3.784651875277956,2.642250946598773,7.398302650476563,Move 18 units of SKU_126 from STORE_05 to STORE_07,Destination is High risk and source has 33 excess units
STORE_16,STORE_02,East Zone,SKU_039,7,High,33.30674087816945,5,1.9294990723562149,2.591346153846154,6.21923076923077,Move 7 units of SKU_039 from STORE_16 to STORE_02,Destination is High risk and source has 33 excess units
STORE_05,STORE_02,East Zone,SKU_008,10,High,32.24576303461934,8,3.492858299663264,2.290387789499292,5.153372526373408,Move 10 units of SKU_008 from STORE_05 to STORE_02,Destination is High risk and source has 32 excess units
STORE_05,STORE_07,East Zone,SKU_008,17,High,32.24576303461934,14,3.452910672465708,4.054550299154615,8.977932805270934,Move 17 units of SKU_008 from STORE_05 to STORE_07,Destination is High risk and source has 32 excess units
STORE_05,STORE_07,East Zone,SKU_188,16,High,31.31035992260482,15,2.6754767480762798,5.6064774290358885,11.586720020007503,Move 16 units of SKU_188 from STORE_05 to STORE_07,Destination is High risk and source has 31 excess units
STORE_05,STORE_07,East Zone,SKU_077,19,High,30.96246406941318,19,3.269302499067512,5.811637193382773,11.623274386765546,Move 19 units of SKU_077 from STORE_05 to STORE_07,Destination is High risk and source has 30 excess units
STORE_05,STORE_07,East Zone,SKU_116,16,High,29.916179606575195,14,2.823936938396369,4.957617788713862,10.623466690101132,Move 16 units of SKU_116 from STORE_05 to STORE_07,Destination is High risk and source has 29 excess units
STORE_16,STORE_02,East Zone,SKU_232,6,High,29.87900148257572,6,2.212793337869978,2.7115049097967576,5.423009819593515,Move 6 units of SKU_232 from STORE_16 to STORE_02,Destination is High risk and source has 29 excess units
STORE_05,STORE_07,East Zone,SKU_238,10,High,29.58806379694735,9,3.455618308443921,2.6044543108271516,5.498292433968431,Move 10 units of SKU_238 from STORE_05 to STORE_07,Destination is High risk and source has 29 excess units
STORE_16,STORE_07,East Zone,SKU_126,18,High,29.482958727455216,10,3.784651875277956,2.642250946598773,7.398302650476563,Move 18 units of SKU_126 from STORE_16 to STORE_07,Destination is High risk and source has 29 excess units
STORE_05,STORE_07,East Zone,SKU_165,15,High,29.37895573813941,14,2.506398415418512,5.58570413780856,11.570387142603446,Move 15 units of SKU_165 from STORE_05 to STORE_07,Destination is High risk and source has 29 excess units
STORE_05,STORE_07,East Zone,SKU_031,15,High,28.295298950251027,15,3.172149192663538,4.728655270909577,9.457310541819155,Move 15 units of SKU_031 from STORE_05 to STORE_07,Destination is High risk and source has 28 excess units
STORE_16,STORE_07,East Zone,SKU_064,17,High,28.25970659450221,8,3.408190914897323,2.3472863462641476,7.335269832075461,Move 17 units of SKU_064 from STORE_16 to STORE_07,Destination is High risk and source has 28 excess units
STORE_16,STORE_02,East Zone,SKU_064,18,High,28.25970659450221,13,4.541811153430732,2.862294261217848,6.825470930596407,Move 18 units of SKU_064 from STORE_16 to STORE_02,Destination is High risk and source has 28 excess units
STORE_05,STORE_07,East Zone,SKU_230,12,High,28.214168425991087,9,3.0270531218053085,2.9731886550548796,6.937440195128053,Move 12 units of SKU_230 from STORE_05 to STORE_07,Destination is High risk and source has 28 excess units
STORE_16,STORE_07,East Zone,SKU_074,9,High,27.90354301526906,6,1.856614876627463,3.2316879906181657,8.079219976545415,Move 9 units of SKU_074 from STORE_16 to STORE_07,Destination is High risk and source has 27 excess units
STORE_16,STORE_07,East Zone,SKU_100,14,High,27.852361828265444,7,2.438249978102829,2.8709115401885947,8.612734620565785,Move 14 units of SKU_100 from STORE_16 to STORE_07,Destination is High risk and source has 27 excess units
STORE_05,STORE_07,East Zone,SKU_047,11,High,27.433561390172116,8,2.775208936398037,2.8826658400658136,6.846331370156307,Move 11 units of SKU_047 from STORE_05 to STORE_07,Destination is High risk and source has 27 excess units
STORE_16,STORE_07,East Zone,SKU_051,27,High,27.338806199171398,19,4.768519859119415,3.9844648992420595,9.646599229743934,Move 27 units of SKU_051 from STORE_16 to STORE_07,Destination is High risk and source has 27 excess units
STORE_16,STORE_07,East Zone,SKU_113,15,High,27.126898243751995,13,2.6206977070004203,4.960511075075289,10.684177700162161,Move 15 units of SKU_113 from STORE_16 to STORE_07,Destination is High risk and source has 27 excess units
STORE_05,STORE_07,East Zone,SKU_072,12,High,26.707443124448908,5,2.420436706150992,2.0657429245283017,7.023525943396226,Move 12 units of SKU_072 from STORE_05 to STORE_07,Destination is High risk and source has 26 excess units
STORE_12,STORE_15,North Zone,SKU_212,8,High,26.67015995587424,6,2.8876378137461884,2.0778229082047113,4.8482534524776595,Move 8 units of SKU_212 from STORE_12 to STORE_15,Destination is High risk and source has 26 excess units
STORE_16,STORE_07,East Zone,SKU_139,9,High,26.517814351547074,7,1.939091071311175,3.6099387509771463,8.251288573662048,Move 9 units of SKU_139 from STORE_16 to STORE_07,Destination is High risk and source has 26 excess units
STORE_16,STORE_07,East Zone,SKU_240,8,High,26.36681090774419,8,2.2356527326143145,3.5783732792189986,7.156746558437997,Move 8 units of SKU_240 from STORE_16 to STORE_07,Destination is High risk and source has 26 excess units
STORE_06,STORE_03,Central Zone,SKU_033,19,High,26.36418634110119,13,4.969128529009756,2.616152897657213,6.439760978848525,Move 19 units of SKU_033 from STORE_06 to STORE_03,Destination is High risk and source has 26 excess units
STORE_01,STORE_11,West Zone,SKU_046,11,High,26.308283139216528,11,1.961488135924226,5.607987016866127,11.215974033732254,Move 11 units of SKU_046 from STORE_01 to STORE_11,Destination is High risk and source has 26 excess units
STORE_16,STORE_07,East Zone,SKU_031,15,High,26.27389903329753,15,3.172149192663538,4.728655270909577,9.457310541819155,Move 15 units of SKU_031 from STORE_16 to STORE_07,Destination is High risk and source has 26 excess units
STORE_16,STORE_07,East Zone,SKU_099,17,High,26.081978120401764,13,3.4472772756209804,3.7710920708164464,8.702520163422568,Move 17 units of SKU_099 from STORE_16 to STORE_07,Destination is High risk and source has 26 excess units
STORE_08,STORE_03,Central Zone,SKU_114,17,High,25.950389912062384,17,2.846086282614312,5.97311476600225,11.9462295320045,Move 17 units of SKU_114 from STORE_08 to STORE_03,Destination is High risk and source has 25 excess units
STORE_16,STORE_02,East Zone,SKU_016,14,High,25.81512605042017,12,4.8867066460091895,2.4556415740240927,5.320556743718867,Move 14 units of SKU_016 from STORE_16 to STORE_02,Destination is High risk and source has 25 excess units
STORE_16,STORE_07,East Zone,SKU_191,23,High,25.54655858623318,20,3.946128104821606,5.068259181845326,10.896757240967451,Move 23 units of SKU_191 from STORE_16 to STORE_07,Destination is High risk and source has 25 excess units
STORE_16,STORE_07,East Zone,SKU_028,10,High,25.265178866477697,6,2.1543795896737072,2.7850245280631967,7.426732074835192,Move 10 units of SKU_028 from STORE_16 to STORE_07,Destination is High risk and source has 25 excess units
STORE_05,STORE_07,East Zone,SKU_143,17,High,25.056136164143076,11,3.4082283471465367,3.227483278580646,8.215411981841644,Move 17 units of SKU_143 from STORE_05 to STORE_07,Destination is High risk and source has 25 excess units
STORE_16,STORE_02,East Zone,SKU_162,9,High,24.689975324153636,7,3.1997546872262137,2.187667707135425,5.000383330595257,Move 9 units of SKU_162 from STORE_16 to STORE_02,Destination is High risk and source has 24 excess units
STORE_16,STORE_07,East Zone,SKU_162,23,High,24.689975324153636,18,3.92319036989796,4.588102616205231,10.45067818135636,Move 23 units of SKU_162 from STORE_16 to STORE_07,Destination is High risk and source has 24 excess units
STORE_05,STORE_02,East Zone,SKU_138,9,High,24.4182222652094,5,2.260521433453764,2.211879049676026,6.193261339092873,Move 9 units of SKU_138 from STORE_05 to STORE_02,Destination is High risk and source has 24 excess units
STORE_01,STORE_18,West Zone,SKU_188,8,High,23.859278149443405,8,2.7140747771977014,2.947597489653564,5.895194979307128,Move 8 units of SKU_188 from STORE_01 to STORE_18,Destination is High risk and source has 23 excess units
STORE_02,STORE_07,East Zone,SKU_188,16,High,23.736226085846226,15,2.6754767480762798,5.6064774290358885,11.586720020007503,Move 16 units of SKU_188 from STORE_02 to STORE_07,Destination is High risk and source has 23 excess units
STORE_16,STORE_07,East Zone,SKU_017,17,High,23.618927506797263,10,2.8398445092322646,3.521319553760865,9.507562795154335,Move 17 units of SKU_017 from STORE_16 to STORE_07,Destination is High risk and source has 23 excess units
STORE_16,STORE_02,East Zone,SKU_211,10,High,23.554916816704292,7,2.644740973312402,2.646762034783641,6.4278506559031285,Move 10 units of SKU_211 from STORE_16 to STORE_02,Destination is High risk and source has 23 excess units
STORE_16,STORE_07,East Zone,SKU_211,17,High,23.554916816704292,16,2.83375667863712,5.646215188699657,11.645318826693043,Move 17 units of SKU_211 from STORE_16 to STORE_07,Destination is High risk and source has 23 excess units
STORE_16,STORE_02,East Zone,SKU_245,4,High,23.490881458966566,0,2.346155051882504,0.0,1.7049171566007484,Move 4 units of SKU_245 from STORE_16 to STORE_02,Destination is High risk and source has 23 excess units
STORE_05,STORE_07,East Zone,SKU_062,15,High,23.250651532146904,12,2.550561453966893,4.704846449136278,10.585904510556626,Move 15 units of SKU_062 from STORE_05 to STORE_07,Destination is High risk and source has 23 excess units
