restock_id,store_id,sku_id,restock_date,quantity_received,lag_days
RESTOCK_005806,STORE_16,SKU_187,2025-10-01,23,2
RESTOCK_005568,STORE_02,SKU_106,2025-10-01,12,1
RESTOCK_003796,STORE_11,SKU_207,2025-10-01,16,6
RESTOCK_005687,STORE_13,SKU_036,2025-10-01,16,4
RESTOCK_006694,STORE_18,SKU_006,2025-10-01,16,1
RESTOCK_002351,STORE_05,SKU_214,2025-10-01,23,2
RESTOCK_003481,STORE_06,SKU_007,2025-10-01,13,4
RESTOCK_001889,STORE_14,SKU_111,2025-10-01,19,2
RESTOCK_005512,STORE_02,SKU_195,2025-10-01,10,1
RESTOCK_000460,STORE_18,SKU_194,2025-10-01,12,1
RESTOCK_005245,STORE_17,SKU_100,2025-10-01,23,3
RESTOCK_006417,STORE_03,SKU_150,2025-10-01,10,5
RESTOCK_006405,STORE_06,SKU_187,2025-10-01,18,3
RESTOCK_006403,STORE_14,SKU_168,2025-10-01,10,3
RESTOCK_002102,STORE_01,SKU_168,2025-10-01,23,1
RESTOCK_002149,STORE_14,SKU_161,2025-10-01,18,3
RESTOCK_006366,STORE_05,SKU_019,2025-10-01,33,1
RESTOCK_002736,STORE_05,SKU_060,2025-10-01,16,1
RESTOCK_000644,STORE_02,SKU_193,2025-10-01,11,2
RESTOCK_002254,STORE_03,SKU_242,2025-10-01,18,3
RESTOCK_000656,STORE_08,SKU_199,2025-10-01,12,1
RESTOCK_001075,STORE_02,SKU_178,2025-10-01,19,3
RESTOCK_000768,STORE_03,SKU_039,2025-10-01,12,3
RESTOCK_000830,STORE_05,SKU_007,2025-10-01,22,1
RESTOCK_000707,STORE_05,SKU_043,2025-10-01,31,1
RESTOCK_004770,STORE_05,SKU_192,2025-10-01,20,1
RESTOCK_000922,STORE_13,SKU_093,2025-10-01,14,2
RESTOCK_001263,STORE_10,SKU_126,2025-10-02,25,2
RESTOCK_001908,STORE_04,SKU_091,2025-10-02,10,3
